    0.147426736174821826E+01    0.159997704029083252E+04   -0.908830332756042480E+01   -0.541411197185516357E+01   -0.884694504737854004E+01   -0.271135556697845459E+01   -0.178587490911323868E+06   -0.609146350544151804E+01    1
    0.151510638577938073E+01    0.140547833442687988E+04   -0.634778535366058350E+01   -0.161937981843948364E+01   -0.671715754270553589E+01   -0.103192672729492188E+02   -0.175341032264853275E+06   -0.609396350544151844E+01    1
    0.155256365997791268E+01    0.446834230422973633E+03   -0.114992615580558777E+02   -0.189578330516815186E+01   -0.114168567061424255E+02   -0.468197852373123169E+01   -0.174614557375368953E+06   -0.609646350544151083E+01    1
    0.152855229329466802E+01    0.894118046760559082E+03   -0.491686224937438965E+01   -0.193464833498001099E+01   -0.509550160169601440E+01   -0.438075864315032959E+01   -0.173360180012800818E+06   -0.609896350544150234E+01    1
    0.152869785516858081E+01    0.109378597736358643E+04   -0.992856085300445557E+01   -0.385978353023529053E+01   -0.117732686400413513E+02   -0.518302708864212036E+01   -0.169639308329223888E+06   -0.610146350544149918E+01    1
    0.152443123980760564E+01    0.103242218494415283E+04   -0.113005717396736145E+02   -0.221134948730468750E+01   -0.793298250436782837E+01   -0.519209933280944824E+01   -0.169357778077349154E+06   -0.610396350544150579E+01    1
    0.154344813315868357E+01    0.785933899879455566E+03   -0.379266452789306641E+01   -0.845130485296249390E+01   -0.114513649344444275E+02   -0.870638328790664673E+01   -0.167719135509769054E+06   -0.610646350544152394E+01    1
    0.154505356641411762E+01    0.560485935211181641E+03   -0.154097902774810791E+01   -0.546948695182800293E+01   -0.481201642751693726E+01   -0.114061623811721802E+02   -0.167611645817477431E+06   -0.610896350544153233E+01    1
    0.150017003645896896E+01    0.111818885803222656E+04   -0.637905007600784302E+01   -0.274726819992065430E+01   -0.353006446361541748E+01   -0.112206544280052185E+02   -0.166534101150853036E+06   -0.611146350544151318E+01    1
    0.152772042784094797E+01    0.112123241424560547E+04   -0.351326864957809448E+01   -0.750403785705566406E+01   -0.832219994068145752E+01   -0.100568586587905884E+02   -0.163004058451837336E+06   -0.611396350544150202E+01    1
    0.152938211748003949E+01    0.953365826606750488E+03   -0.199861890077590942E+01   -0.821224725246429443E+01   -0.923213613033294678E+01   -0.917575275897979736E+01   -0.162708024913147237E+06   -0.611646350544151840E+01    1
    0.150392205778956400E+01    0.993854451179504395E+03   -0.106216135621070862E+02   -0.259162122011184692E+01   -0.212090373039245605E+01   -0.152914780378341675E+01   -0.160275423531556648E+06   -0.611896350544151613E+01    1
    0.147534036417603476E+01    0.153224546909332275E+04   -0.451814574003219604E+01   -0.832132399082183838E+01   -0.164838254451751709E+01   -0.929180824756622314E+01   -0.157533012760003505E+06   -0.612146350544151030E+01    1
    0.153380207097530352E+01    0.819722294807434082E+03   -0.106620298624038696E+02   -0.498075544834136963E+01   -0.955486005544662476E+01   -0.964343851804733276E+01   -0.153076448708712676E+06   -0.612396350544150803E+01    1
    0.152074026212096203E+01    0.109355087280273438E+04   -0.776822590827941895E+01   -0.106987417340278625E+02   -0.718314778804779053E+01   -0.762152987718582153E+01   -0.153017692576989997E+06   -0.612646350544151108E+01    1
    0.149024728521108618E+01    0.139072704315185547E+04   -0.101303486227989197E+02   -0.609468173980712891E+01   -0.542511969804763794E+01   -0.107007762193679810E+02   -0.152946427079234069E+06   -0.612896350544151858E+01    1
    0.150253713011741619E+01    0.148927004337310791E+04   -0.500795578956604004E+01   -0.119809205532073975E+02   -0.111063462495803833E+02   -0.470772200822830200E+01   -0.152668426213504077E+06   -0.613146350544150476E+01    1
    0.152853256103396395E+01    0.898379969596862793E+03   -0.301096910238265991E+01   -0.721659582853317261E+01   -0.102972203493118286E+02   -0.966606175899505615E+01   -0.152271477042248443E+06   -0.613396350544150160E+01    1
    0.151106270608305904E+01    0.136884136199951172E+04   -0.112669230699539185E+02   -0.549062120914459229E+01   -0.819665914773941040E+01   -0.655694067478179932E+01   -0.150983875811752718E+06   -0.613646350544149932E+01    1
    0.152534220440983770E+01    0.987953734397888184E+03   -0.400576162338256836E+01   -0.751195418834686279E+01   -0.110569501519203186E+02   -0.639880353212356567E+01   -0.149562486032243149E+06   -0.613896350544150327E+01    1
    0.154023707224130613E+01    0.422845983505249023E+03   -0.340489542484283447E+01   -0.107278388738632202E+02   -0.973291981220245361E+01   -0.981657236814498901E+01   -0.145371764897704357E+06   -0.614146350544151343E+01    1
    0.152989301778674114E+01    0.454461503028869629E+03   -0.482227212190628052E+01   -0.543380051851272583E+01   -0.474434405565261841E+01   -0.183794766664505005E+01   -0.144328445393265167E+06   -0.614396350544152714E+01    1
    0.145155346410870534E+01    0.153317058086395264E+04   -0.455710649490356445E+01   -0.100904207825660706E+02   -0.713876152038574219E+01   -0.236653423309326172E+01   -0.144271261568757094E+06   -0.614646350544152309E+01    1
    0.150551446580886816E+01    0.137252621650695801E+04   -0.774578297138214111E+01   -0.969953340291976929E+01   -0.745530200004577637E+01   -0.109178164005279541E+02   -0.144069009840357350E+06   -0.614896350544151282E+01    1
    0.152579939991831770E+01    0.800112700462341309E+03   -0.296154546737670898E+01   -0.863885712623596191E+01   -0.921045637130737305E+01   -0.106783955693244934E+02   -0.142497071060883551E+06   -0.615146350544152742E+01    1
    0.145959217327237112E+01    0.152957513332366943E+04   -0.108372440934181213E+02   -0.262646842002868652E+01   -0.495542043447494507E+01   -0.794525629281997681E+01   -0.132140397032282955E+06   -0.615396350544151360E+01    1
