    0.155929330860972382E+01    0.936300253868103027E+03   -0.549073725938796997E+01   -0.703363376855850220E+01   -0.728649610280990601E+01   -0.203357909254317638E+06   -0.602146350544152753E+01    1
    0.151549896542429918E+01    0.135819571018218994E+04   -0.852305537462234497E+01   -0.237125360965728760E+01   -0.109342503547668457E+01   -0.202356456509186799E+06   -0.602396350544153325E+01    1
    0.154471337932348241E+01    0.155160257816314697E+04   -0.813864451646804810E+01   -0.862139123678207397E+01   -0.808242309093475342E+01   -0.201561381578702829E+06   -0.602646350544152298E+01    1
    0.151307855578064898E+01    0.140132319927215576E+04   -0.486968421936035156E+01   -0.100962586998939514E+02   -0.345198953151702881E+01   -0.198803902433969692E+06   -0.602896350544150561E+01    1
    0.151909628777503958E+01    0.151224870681762695E+04   -0.619378995895385742E+01   -0.277861946821212769E+01   -0.627615219354629517E+01   -0.198730268586418417E+06   -0.603146350544150955E+01    1
    0.155989990552067748E+01    0.727526545524597168E+03   -0.745007055997848511E+01   -0.476863527297973633E+01   -0.580254393815994263E+01   -0.196116305635269091E+06   -0.603396350544152682E+01    1
    0.152866308070421208E+01    0.153669400215148926E+04   -0.694268643856048584E+01   -0.584157812595367432E+01   -0.530422157049179077E+01   -0.194002550677766936E+06   -0.603646350544153165E+01    1
    0.153793967331647852E+01    0.113405179977416992E+04   -0.763930654525756836E+01   -0.465927463769912720E+01   -0.458043783903121948E+01   -0.193457377996196650E+06   -0.603896350544152227E+01    1
    0.153730044041275971E+01    0.118295168876647949E+04   -0.728567588329315186E+01   -0.647262263298034668E+01   -0.461531060934066772E+01   -0.191584142603860702E+06   -0.604146350544151556E+01    1
    0.155127182872295366E+01    0.934147906303405762E+03   -0.102915574908256531E+02   -0.518379420042037964E+01   -0.955732136964797974E+01   -0.188494855648788944E+06   -0.604396350544152039E+01    1
    0.152844447058439248E+01    0.139606564044952393E+04   -0.389550143480300903E+01   -0.478124147653579712E+01   -0.622370338439941406E+01   -0.186352549971147033E+06   -0.604646350544152966E+01    1
