    0.131263562015286173E+01    0.144479215221625032E+04   -0.458488564846796454E+01    0.370119589802290704E+03
    0.131355018404733381E+01    0.150029996083434526E+04   -0.487508374942288114E+01    0.370120788550415284E+03
    0.131329261075449732E+01    0.141185697280587829E+04   -0.471976902130852949E+01    0.370130083941698217E+03
    0.131533124864299400E+01    0.143135244266804943E+04   -0.485701833206635847E+01    0.370142959156593975E+03
    0.131798124170663100E+01    0.119421535959147695E+04   -0.431564860681042806E+01    0.370151711544551063E+03
    0.131191365353365108E+01    0.147455192674831142E+04   -0.462729604434056796E+01    0.370165426081515363E+03
    0.131745624927555438E+01    0.128039907097367768E+04   -0.451311342343938993E+01    0.370166843041105949E+03
    0.131258779457730101E+01    0.147599439857495349E+04   -0.468297449982762348E+01    0.370192226113149275E+03
    0.131421318114241026E+01    0.130761375816903455E+04   -0.441863423258608279E+01    0.370205426709515621E+03
    0.131425847393310713E+01    0.147132505943510932E+04   -0.483735390431685897E+01    0.370236922491488372E+03
    0.131496070435879431E+01    0.138118547362507707E+04   -0.477439847300283216E+01    0.370250601263303281E+03
    0.131506157744815533E+01    0.131015433200929147E+04   -0.455072823491327938E+01    0.370268708010895523E+03
    0.131531308396492030E+01    0.139462476019940937E+04   -0.465673642707488078E+01    0.370281308544584988E+03
    0.131776011978452767E+01    0.122169451587714229E+04   -0.446348254001592526E+01    0.370307718437129438E+03
    0.131790360590362976E+01    0.121729760575885985E+04   -0.445798793265950266E+01    0.370311771247854040E+03
    0.131164495434327066E+01    0.152212067147882294E+04   -0.483435120069233815E+01    0.370312363957703042E+03
    0.131194197774270882E+01    0.152936254525044274E+04   -0.480942808554890711E+01    0.370325422103778010E+03
    0.131500864956687780E+01    0.141440380706005408E+04   -0.484977824027453153E+01    0.370346792201689652E+03
    0.131763868195446476E+01    0.124476356164265690E+04   -0.441083147421035360E+01    0.370360424813670193E+03
    0.131345193543223604E+01    0.134056916936367156E+04   -0.444411360622215490E+01    0.370362669418909491E+03
    0.131150049846477756E+01    0.148884946070750721E+04   -0.473691556928089774E+01    0.370364614602871143E+03
    0.131774426445618831E+01    0.120152848447502174E+04   -0.432093812157247825E+01    0.370368690256352807E+03
    0.131834909423943336E+01    0.122095814462113549E+04   -0.446701511058641199E+01    0.370374733748654762E+03
    0.131385463177501283E+01    0.138301348693236059E+04   -0.468086076153114838E+01    0.370375314650327425E+03
    0.131736359940269487E+01    0.122007746407442528E+04   -0.442031001593881445E+01    0.370375614919157897E+03
    0.131542164071790535E+01    0.138288891724615610E+04   -0.480379507956771068E+01    0.370386513359605146E+03
    0.131547763655055094E+01    0.138197727851950867E+04   -0.480460003994757479E+01    0.370404952297522925E+03
    0.131648106230012552E+01    0.125218906749967664E+04   -0.432922183630519797E+01    0.370419397559659615E+03
    0.131358271815452987E+01    0.144095707545481559E+04   -0.464846375968942915E+01    0.370420735753406746E+03
    0.131651521365930813E+01    0.136674663919121303E+04   -0.475810261544997992E+01    0.370430763341808643E+03
    0.131719848426366348E+01    0.122467677484563251E+04   -0.431314940250866918E+01    0.370433653026257844E+03
    0.131497615875678253E+01    0.143955172636887460E+04   -0.481254915382845283E+01    0.370440932951537548E+03
    0.131623383176526887E+01    0.131055071320640491E+04   -0.465876490180191549E+01    0.370442175791710724E+03
    0.131361761525890874E+01    0.134545192481881395E+04   -0.450764906853059788E+01    0.370444998820550268E+03
    0.131275832563237849E+01    0.146639549389415811E+04   -0.467001123763598258E+01    0.370452868340983969E+03
    0.131423165874555359E+01    0.145383770003834798E+04   -0.475265774552947473E+01    0.370453655946143726E+03
    0.131273719361682395E+01    0.144550034273587949E+04   -0.461109615967179209E+01    0.370460483313808140E+03
    0.131824929571047900E+01    0.121855449997289588E+04   -0.446074738488290023E+01    0.370463963341904559E+03
    0.131258957725721093E+01    0.147737278629482967E+04   -0.482060785345148712E+01    0.370468289547903396E+03
    0.131162390760002601E+01    0.152608030272754240E+04   -0.482545286961915387E+01    0.370477198300222426E+03
    0.131605262477532547E+01    0.139318846823352965E+04   -0.478055685110250117E+01    0.370482785669129726E+03
    0.131342861671861177E+01    0.144123126422153086E+04   -0.463762056984289828E+01    0.370484526207979798E+03
    0.131708950849386253E+01    0.129263294928539472E+04   -0.451232603462045656E+01    0.370486475901569293E+03
    0.131311536732524647E+01    0.139626676084861765E+04   -0.464696957296339264E+01    0.370496894808453419E+03
    0.131646387443940727E+01    0.136620566152527522E+04   -0.478194944511097120E+01    0.370507656321528714E+03
    0.131740476262646333E+01    0.123564138978610299E+04   -0.437527860557899562E+01    0.370511107687904257E+03
    0.131542676111232670E+01    0.132104168172476056E+04   -0.462360890522570145E+01    0.370527793062810872E+03
    0.131548045602966712E+01    0.125822026029368772E+04   -0.432800181819755103E+01    0.370530438385665775E+03
    0.131470809116734100E+01    0.143001205371563037E+04   -0.485963008871499014E+01    0.370534012335231523E+03
    0.131153524643399133E+01    0.151924945933640993E+04   -0.480593903272443868E+01    0.370585804808834382E+03
    0.131295474684988145E+01    0.137527809317086258E+04   -0.453248726896290588E+01    0.370594754521075629E+03
    0.131765039578363874E+01    0.124102817676247150E+04   -0.452144007360649081E+01    0.370594820544470394E+03
    0.131627055640056168E+01    0.137763762213622704E+04   -0.476214980804610022E+01    0.370601537283461937E+03
    0.131562434031897113E+01    0.127299757776792671E+04   -0.445162403706682763E+01    0.370607573067118551E+03
