    0.129425883737061387E+01    0.145548043693102272E+04   -0.552351857411971459E+01   -0.600238727024253116E+01   -0.893706745820518300E+01   -0.342785677217038831E+01    0.442118207634365206E+03
    0.129818747108826504E+01    0.150643728073973421E+04   -0.506050455548138789E+01   -0.672784798266656292E+01   -0.114415392399256071E+02   -0.378776217147547101E+01    0.442168520771814656E+03
    0.130654421514582175E+01    0.138020033826242798E+04   -0.617084821999596844E+01   -0.812256835252246212E+01   -0.104254844788453074E+02   -0.401107464302972794E+01    0.442192353669602710E+03
    0.129723856188058018E+01    0.138306940904737712E+04   -0.467290197777082650E+01   -0.612434356621978804E+01   -0.930076815553997882E+01   -0.343063833753280534E+01    0.442202579007413817E+03
    0.130410815052843532E+01    0.125632279435242344E+04   -0.484235978915810694E+01   -0.678142369716376958E+01   -0.116035655706670919E+02   -0.345843247831559886E+01    0.442244766703469850E+03
    0.130749143435180226E+01    0.136847516762171904E+04   -0.549945048397503022E+01   -0.726168280336793082E+01   -0.113249325900146918E+02   -0.403103166160840498E+01    0.442249116585908723E+03
    0.130204114946508209E+01    0.148834656844090091E+04   -0.628377714834980328E+01   -0.802340188299263168E+01   -0.980661842651388582E+01   -0.404185261819157216E+01    0.442287792715041974E+03
    0.130479736437970861E+01    0.137738892020172580E+04   -0.562832670801972679E+01   -0.748820474908626554E+01   -0.101426956806665931E+02   -0.398923323960461573E+01    0.442312181655913491E+03
    0.130196249390947250E+01    0.148288901714319127E+04   -0.601795442237152400E+01   -0.742734374779669171E+01   -0.967177079768646131E+01   -0.409085733913418270E+01    0.442316107047765911E+03
    0.130151952262708703E+01    0.141832719519625289E+04   -0.516146465689254264E+01   -0.644821935869159901E+01   -0.119102810667090910E+02   -0.374410639661326528E+01    0.442321690689049717E+03
    0.130642391406149683E+01    0.135792641429006562E+04   -0.645533866467915285E+01   -0.723662933340644177E+01   -0.987138576962030889E+01   -0.391182436474101713E+01    0.442324182093379363E+03
    0.130309821380893864E+01    0.151934793313007913E+04   -0.633860348612340374E+01   -0.789497033797387004E+01   -0.100612905188120223E+02   -0.414297735488036345E+01    0.442347717284271084E+03
    0.130580972110747795E+01    0.134599420207279672E+04   -0.586489153769160065E+01   -0.708916678007118328E+01   -0.115605526274277590E+02   -0.379745539804598486E+01    0.442357752010473462E+03
    0.130213028169449219E+01    0.134820531525904244E+04   -0.546380816905505462E+01   -0.667146749906675396E+01   -0.117567789229830932E+02   -0.360931067372617420E+01    0.442377904655331974E+03
    0.130061325562999630E+01    0.136676919827497568E+04   -0.594725075664169900E+01   -0.727210598153935805E+01   -0.911954339783424928E+01   -0.358958396824532322E+01    0.442387679449352675E+03
    0.130743944777352539E+01    0.131876640112831410E+04   -0.567914666030761772E+01   -0.803716357822319161E+01   -0.103746541269769281E+02   -0.386478759601589950E+01    0.442389720139114615E+03
    0.129880999250949802E+01    0.128018914440771096E+04   -0.496984961971317762E+01   -0.592572630933845623E+01   -0.880938890314541823E+01   -0.309815849740645177E+01    0.442394289084352067E+03
    0.130195703552246722E+01    0.146324091739520600E+04   -0.519353578341318478E+01   -0.757798018430329279E+01   -0.113059717947327041E+02   -0.391508306781302373E+01    0.442407563802424306E+03
    0.130483643231855817E+01    0.136869856621613394E+04   -0.554847640136978626E+01   -0.765986338391455135E+01   -0.988336293406005595E+01   -0.379939561585029573E+01    0.442412659838473530E+03
    0.130330043762071246E+01    0.129281190049221186E+04   -0.475725707744156612E+01   -0.711397621452654860E+01   -0.111039480152559999E+02   -0.346633402847690419E+01    0.442474043194697686E+03
    0.130401110624593009E+01    0.149326929424091531E+04   -0.553914886539549833E+01   -0.725879251256595648E+01   -0.110160555099934356E+02   -0.415637193298679630E+01    0.442490666258169881E+03
    0.130741739766454312E+01    0.142129748931113818E+04   -0.645355274715577565E+01   -0.765464520048847596E+01   -0.115098284503435320E+02   -0.418080907993488893E+01    0.442491255727186740E+03
    0.130348180372000622E+01    0.148501388893803482E+04   -0.667837513951987471E+01   -0.730932215717294032E+01   -0.102306647629155218E+02   -0.414947018210352603E+01    0.442518243134393799E+03
    0.129871061708550517E+01    0.143617131064830164E+04   -0.472498050141128090E+01   -0.647007391388795128E+01   -0.116956288857465669E+02   -0.365007115249585112E+01    0.442519828991327131E+03
    0.130220598266969301E+01    0.152151500959306395E+04   -0.593124099962757967E+01   -0.770878612548390674E+01   -0.115677050649594513E+02   -0.420770916390539540E+01    0.442520309006146476E+03
    0.129526825777838028E+01    0.146719104650291433E+04   -0.482123672297081196E+01   -0.659822185746706413E+01   -0.985430556421069603E+01   -0.349984687005066775E+01    0.442554741931400656E+03
    0.129899764811965479E+01    0.136804913450001186E+04   -0.483991853584298859E+01   -0.658225599388877924E+01   -0.102167736908558915E+02   -0.350938370386270293E+01    0.442580974789820630E+03
    0.130304503258936033E+01    0.126567998240601173E+04   -0.474315837593360090E+01   -0.689449154084334559E+01   -0.102597253735945024E+02   -0.335193906269399733E+01    0.442642781483917588E+03
    0.129988151474816038E+01    0.151097037530362763E+04   -0.520391022193521291E+01   -0.746139240891719790E+01   -0.113600676168214854E+02   -0.399224312627261746E+01    0.442658226524843144E+03
    0.129902473758084880E+01    0.136784148134955717E+04   -0.535979432195664618E+01   -0.647334533377829313E+01   -0.967833687560874267E+01   -0.341515122949025418E+01    0.442679811750404554E+03
    0.130069329333600225E+01    0.153545489767773120E+04   -0.594380851717142811E+01   -0.694997387403606393E+01   -0.100358740545076035E+02   -0.415767627920627358E+01    0.442680613724030593E+03
    0.129922730030087452E+01    0.136315063593287050E+04   -0.491031342698916795E+01   -0.618469464058217966E+01   -0.915728841207194932E+01   -0.345489091160475681E+01    0.442696724157204414E+03
    0.130251845163266822E+01    0.145741939972730665E+04   -0.592993780148914951E+01   -0.731251506667810247E+01   -0.106945907206593169E+02   -0.406468934992832764E+01    0.442710806962054789E+03
    0.129945381985459529E+01    0.135233437386325841E+04   -0.452469219678637913E+01   -0.654882840783959796E+01   -0.105380006082761781E+02   -0.342118953677007376E+01    0.442713926824811892E+03
    0.129950835421039645E+01    0.159952906287379824E+04   -0.607694663150089553E+01   -0.747982604222343372E+01   -0.102936072083006547E+02   -0.424000088400218811E+01    0.442722634152716296E+03
    0.130686230269984205E+01    0.132816810373303679E+04   -0.613070873601714883E+01   -0.730008652145051329E+01   -0.107765299443758771E+02   -0.391103641017138415E+01    0.442734742264099623E+03
    0.129876044068023400E+01    0.138090552170451565E+04   -0.466163004225884947E+01   -0.618597857545494367E+01   -0.112461640373278939E+02   -0.347700903474818901E+01    0.442750419624543667E+03
    0.130405536356287044E+01    0.126995790440402152E+04   -0.555939098044107904E+01   -0.652517245251879263E+01   -0.923880408353143778E+01   -0.344370007627076902E+01    0.442752783038030429E+03
    0.130864359196974256E+01    0.124478581731876739E+04   -0.531916466797371346E+01   -0.737753581930997893E+01   -0.118347721278592690E+02   -0.374785966360778744E+01    0.442754704015412074E+03
    0.129728102617290619E+01    0.155514184513552846E+04   -0.532132968303781428E+01   -0.713374950021393239E+01   -0.112709539651616151E+02   -0.396238201361430242E+01    0.442757869314247557E+03
    0.130322236585508167E+01    0.142593685721442625E+04   -0.599351081663842589E+01   -0.677213137428980794E+01   -0.115502501373334141E+02   -0.395511165624438199E+01    0.442761563821238667E+03
    0.130336722019616524E+01    0.135986112482798399E+04   -0.502461621578020345E+01   -0.737656575864956210E+01   -0.983648751332907167E+01   -0.374074376530109376E+01    0.442774734076410255E+03
    0.129947708797180694E+01    0.145206646921596666E+04   -0.556874125190534564E+01   -0.653024964305399891E+01   -0.106324308979144035E+02   -0.380536283922325680E+01    0.442785804953279069E+03
    0.130225126213192777E+01    0.138659715859594507E+04   -0.557884708467435875E+01   -0.777664180833570207E+01   -0.955174725896067400E+01   -0.376759326315887400E+01    0.442793409945802182E+03
    0.129984754044275963E+01    0.147738100753416325E+04   -0.515120041423639918E+01   -0.747281600862030793E+01   -0.115199209279697268E+02   -0.384907294665017474E+01    0.442802590427164546E+03
    0.129923181063865778E+01    0.150783145498513795E+04   -0.513295347634687182E+01   -0.720344139720551357E+01   -0.116374044140529733E+02   -0.387021257889957937E+01    0.442807409094532318E+03
    0.130746642426231086E+01    0.131818713069369574E+04   -0.610328698430146055E+01   -0.748645827487667859E+01   -0.100828572806227932E+02   -0.384095329220298964E+01    0.442838914566375308E+03
    0.129938183633065507E+01    0.144803127760494749E+04   -0.546571358197575741E+01   -0.642760859021390907E+01   -0.111293075983903176E+02   -0.372477926634881484E+01    0.442840842237750678E+03
    0.129701630874842744E+01    0.157224721682419886E+04   -0.565090677982460132E+01   -0.655053226843055203E+01   -0.105676208814775201E+02   -0.396475916772811487E+01    0.442847349156237783E+03
    0.130929123123199598E+01    0.132748040507514497E+04   -0.613899568235997073E+01   -0.772890946002954582E+01   -0.108007793347650427E+02   -0.403994080570782721E+01    0.442861715639240629E+03
    0.130455933042779071E+01    0.134434255228807433E+04   -0.587487721299100141E+01   -0.682296829298387575E+01   -0.108678585131257268E+02   -0.374342883639773838E+01    0.442865702627617225E+03
    0.130311302356852865E+01    0.148449817032050055E+04   -0.544213139320405226E+01   -0.696469877444171992E+01   -0.108742261330587251E+02   -0.408186526181789677E+01    0.442872710164603404E+03
    0.129666586437848252E+01    0.156961873944150534E+04   -0.513111911781873609E+01   -0.696640866903720291E+01   -0.108070676386403566E+02   -0.392269150709459424E+01    0.442881939404549712E+03
    0.130521676427748234E+01    0.150609113909821622E+04   -0.643441772611502127E+01   -0.745960586035644457E+01   -0.108449595449200711E+02   -0.435369887998243321E+01    0.442882192708719742E+03
